customer_id,customer_gender,customer_age,customer_education,kids_home,teens_home,latitude,longitude,customer_loyalty,typical_hour,distinct_stores_visited,total_distinct_products,percentage_of_products_bought_promotion,number_complaints,spend_groceries,spend_electronics,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,cluster_pc_ward8
1,0,42,1,1,0,38.71464164233223,-9.128736242379984,1,21,2,105,0.1017052415642066,0,198,5077,22,1526,492,13,177,34,2251,0.0202247191011235,0.5185903983656792,0.0022471910112359,0.155873340143003,0.0502553626149131,0.0013278855975485,0.0180796731358529,0.0034729315628192,0.2299284984678243,1
6,1,57,1,1,0,38.742156533376864,-9.164889810744691,1,23,1,82,0.0968697224852333,1,194,4697,19,1529,460,77,70,76,1980,0.021313996923753,0.516040430674577,0.0020874533069655,0.1679850582289606,0.05053834322127,0.0084596791913865,0.007690617446715,0.008349813227862,0.2175346077785102,1
9,0,76,1,0,0,38.71273699078615,-9.17268606569358,1,20,2,115,0.1022235991329465,1,218,5611,22,1506,481,73,77,61,2029,0.0216312760468346,0.556757293113713,0.0021829728120658,0.1494344115896011,0.0477277237547132,0.0072435006945822,0.0076404048422306,0.0060527882516372,0.2013296288946219,1
12,0,75,3,1,0,38.74496674874433,-9.161524671941928,1,22,2,119,0.0994806981918925,0,220,4873,19,1421,456,113,8,35,2130,0.0237196765498652,0.5253908355795148,0.0020485175202156,0.1532075471698113,0.0491644204851752,0.0121832884097035,0.0008625336927223,0.0037735849056603,0.2296495956873315,1
16,1,54,2,0,0,38.72785256814984,-9.146612983704117,1,22,2,95,0.1017872250672285,0,222,5299,17,1471,444,10,58,36,2120,0.0229409941097447,0.5475870621060246,0.0017567427921876,0.1520099204298853,0.0458819882194895,0.0010333781130515,0.005993593055699,0.0037201612069856,0.2190761599669319,1
18,1,41,1,1,0,38.741622958178176,-9.137611033321212,1,21,2,119,0.1001080062462536,0,234,4980,17,1546,580,88,40,24,2044,0.0244949230608185,0.5213022087302418,0.0017795456924526,0.16183397885481,0.0607139118601486,0.0092117659374018,0.0041871663351826,0.0025122998011095,0.2139641997278341,1
22,1,77,3,1,0,38.72899544386877,-9.15451427298241,1,21,2,52,0.0980435634639731,0,178,5518,20,1493,495,109,17,60,2063,0.0178840550587762,0.5544057068220637,0.0020094443886265,0.1500050236109715,0.0497337486185069,0.0109514719180146,0.0017080277303325,0.0060283331658796,0.2072741886868281,1
24,1,49,1,0,0,38.72231890676433,-9.157661303757235,1,21,2,45,0.1008500664803444,1,184,5235,19,1465,493,101,87,65,1890,0.0192892336722926,0.5487996645350666,0.0019918230422476,0.1535800398364608,0.0516825663067407,0.0105881119614215,0.0091204528776601,0.0068141314603207,0.1981339763077891,1
40,1,39,1,0,0,38.748468448369984,-9.183664529351931,1,22,2,92,0.0999303472956174,0,192,5176,22,1387,553,34,70,53,1830,0.0206074916818718,0.5555436299237952,0.0023612750885478,0.1488676612643554,0.0593538692712246,0.0036492433186648,0.0075131480090157,0.0056885263496833,0.196415155092841,1
42,0,53,3,1,0,38.73948284986364,-9.147976367000757,1,21,2,111,0.100781219063459,1,175,5983,19,1514,549,11,21,35,1864,0.0172057811424638,0.5882410775734933,0.0018680562383246,0.1488545865696588,0.0539769934126437,0.0010815062432405,0.0020646937370956,0.0034411562284927,0.1832661488545865,1
43,1,36,3,0,0,38.74790594381398,-9.128186522440872,1,20,2,112,0.0988610905004722,1,211,5238,23,1546,530,46,99,39,2203,0.0212380473074987,0.5272269753397081,0.00231504781077,0.1556114745848012,0.0533467539003522,0.00463009562154,0.0099647710115752,0.0039255158530447,0.2217413185707096,1
60,1,47,3,1,0,38.72568154070181,-9.124728520134884,1,20,2,83,0.0981444101004591,0,234,4658,18,1530,448,38,36,51,1879,0.0263157894736842,0.5238416554206028,0.0020242914979757,0.1720647773279352,0.0503823661718398,0.0042735042735042,0.0040485829959514,0.0057354925775978,0.2113135402609086,1
63,0,63,1,1,0,38.76788367980728,-9.170735034747343,1,22,2,60,0.1017170386612173,1,217,5291,21,1493,477,86,29,50,2024,0.0223988439306358,0.546139554087531,0.0021676300578034,0.1541081750619322,0.0492361684558216,0.0088769611890999,0.0029933938893476,0.0051610239471511,0.2089182493806771,1
78,0,52,2,1,0,38.75348185369803,-9.151302230785433,1,23,3,88,0.1006954692531718,0,193,4973,22,1470,541,71,165,44,1877,0.0206284737067122,0.531530568619068,0.0023514322359982,0.1571184266780675,0.057823856348867,0.0075887131252672,0.0176357417699871,0.0047028644719965,0.2006199230440359,1
129,1,76,3,0,0,38.723328540424,-9.146910960336358,1,21,2,96,0.0989969781479166,1,228,5155,23,1422,543,70,94,61,2059,0.0236147074054893,0.5339202485758674,0.0023821853961677,0.1472812014500259,0.0562402900051786,0.0072501294665976,0.0097358881408596,0.0063179699637493,0.2132573795960642,1
148,1,48,1,1,0,38.7079929744106,-9.127049124842951,1,22,3,108,0.0989784838285005,0,181,5246,20,1576,445,15,16,12,2155,0.0187254293399544,0.542727084626526,0.0020691082143596,0.1630457272915373,0.0460376577695013,0.0015518311607697,0.0016552865714876,0.0012414649286157,0.222946410097248,1
149,1,80,3,1,0,38.710379215767695,-9.157132487623093,1,21,1,104,0.1001012038946582,1,194,5528,18,1508,484,24,54,80,1770,0.0200828157349896,0.5722567287784679,0.001863354037267,0.1561076604554865,0.050103519668737,0.0024844720496894,0.0055900621118012,0.0082815734989648,0.1832298136645962,1
156,0,72,2,1,0,38.71262695763536,-9.18145910070504,1,21,2,61,0.100828506344886,0,184,4189,20,1560,464,119,51,55,2025,0.0212299526941271,0.483327564324449,0.0023076035537094,0.1799930771893388,0.0535364024460597,0.0137302411445713,0.0058843890619591,0.006345909772701,0.2336448598130841,1
