customer_id,customer_gender,customer_age,customer_education,kids_home,teens_home,latitude,longitude,customer_loyalty,typical_hour,distinct_stores_visited,total_distinct_products,percentage_of_products_bought_promotion,number_complaints,spend_groceries,spend_electronics,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,cluster_ward2,cluster_st_ward3
4,0,68,3,0,1,38.71116987996069,-9.125182346827089,1,17,2,33,0.1395767944360128,0,161,1057,201,159,386,150,56,47,205,0.0664739884393063,0.4364161849710982,0.0829892650701899,0.0656482246077621,0.1593724194880264,0.0619322873658133,0.0231213872832369,0.0194054500412881,0.0846407927332782,0,1
21,1,66,1,1,0,38.71340958679847,-9.152969281590387,1,16,2,42,0.078617218983334,1,937,485,356,225,407,299,71,53,204,0.308528152782351,0.159697069476457,0.1172209417188014,0.0740862693447481,0.1340138294369443,0.0984524201514652,0.0233783338821205,0.0174514323345406,0.0671715508725716,0,1
27,1,32,3,1,1,38.71678443576989,-9.158155325480646,1,7,2,78,0.123453531603479,1,246,97,127,78,216,327,345,58,195,0.1456483126110124,0.0574304322084073,0.0751924215512137,0.0461811722912966,0.127886323268206,0.1936056838365897,0.2042628774422735,0.034339846062759,0.1154529307282415,0,1
28,1,82,1,1,1,38.74831285341598,-9.18619961413123,1,18,1,104,0.0979549688460374,1,466,505,329,112,355,264,184,46,198,0.189507930052867,0.2053680357869052,0.1337942252948353,0.0455469703131354,0.1443676291175274,0.1073607157381049,0.0748271655144367,0.0187067913786091,0.0805205368035787,0,1
35,0,61,1,1,0,38.785937608524,-9.15584332935724,1,14,3,121,0.0980924149624534,1,982,281,207,285,187,72,120,52,201,0.4113950565563469,0.1177209886887306,0.0867197318810222,0.1193967322999581,0.0783410138248847,0.0301633850020946,0.0502723083368244,0.0217846669459572,0.0842061164641809,0,1
41,1,42,3,0,0,38.723708401973774,-9.17010123989722,1,4,1,3,0.1154381425714279,1,454,195,263,174,303,301,199,47,200,0.2125468164794007,0.0912921348314606,0.12312734082397,0.0814606741573033,0.1418539325842696,0.1409176029962547,0.0931647940074906,0.022003745318352,0.0936329588014981,0,1
52,1,23,1,1,0,38.75211541202948,-9.188887009098242,1,18,1,8,0.0851462480208962,1,627,266,385,404,473,83,306,46,201,0.2246506628448584,0.0953063418129702,0.1379433894661411,0.1447509853099247,0.169473307058402,0.0297384450017914,0.1096381225367251,0.0164815478323181,0.0720171981368685,0,1
65,1,51,3,1,0,38.76204574543411,-9.13964024589556,1,8,2,35,0.117480576021889,0,189,23,441,222,318,173,239,53,192,0.1021621621621621,0.0124324324324324,0.2383783783783783,0.12,0.1718918918918918,0.0935135135135135,0.1291891891891892,0.0286486486486486,0.1037837837837837,0,1
69,0,81,2,0,1,38.785108300785325,-9.150746861664087,1,7,2,21,0.1031036637862003,1,631,186,168,240,219,194,312,48,200,0.2870791628753412,0.0846223839854413,0.0764331210191082,0.1091901728844404,0.0996360327570518,0.0882620564149226,0.1419472247497725,0.021838034576888,0.0909918107370336,0,1
76,0,24,3,1,0,38.77688582630364,-9.162822475443408,1,14,1,58,0.0644468581969139,1,788,1674,202,241,208,65,96,54,203,0.2231662418578306,0.4740866610025488,0.0572075899178702,0.0682526196544888,0.0589068252619654,0.0184083828943642,0.0271877655055225,0.0152931180968564,0.0574907958085528,0,1
