customer_id,customer_gender,customer_age,customer_education,kids_home,teens_home,latitude,longitude,customer_loyalty,typical_hour,distinct_stores_visited,total_distinct_products,percentage_of_products_bought_promotion,number_complaints,spend_groceries,spend_electronics,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,cluster_pc_ward8
5,1,52,3,7,2,38.75516742292563,-9.101990440281304,1,19,3,1906,0.2095188706404764,1,4809,233,663,802,587,887,1279,409,1005,0.4505340078695896,0.0218287427393666,0.0621135469364811,0.0751358441071763,0.054993442008619,0.0830991193554431,0.1198238710886265,0.0383174067828368,0.0941540191118606,2
8,1,60,3,5,3,38.73714543751996,-9.185265769822792,1,22,3,2262,0.2019927872200778,1,5221,227,627,747,455,1099,1200,422,1004,0.4745500818033085,0.0206326122523177,0.0569896382475913,0.0678967460461734,0.0413561170696237,0.0998909289220141,0.1090710779858207,0.0383566624250136,0.0912561352481367,2
20,1,77,3,3,2,38.76474581589739,-9.09862989001063,1,18,3,1973,0.1961086960008963,1,5092,209,490,977,493,1178,937,416,953,0.4738948348068869,0.0194509073987901,0.0456026058631921,0.0909260120986505,0.045881805490926,0.1096323871568171,0.0872033503955328,0.0387156817124243,0.0886924150767799,2
25,0,31,2,3,0,38.76656635777796,-9.191320215197718,1,18,2,1937,0.1949935525590783,1,5063,195,540,1063,338,1151,1215,541,1130,0.4506051975792097,0.0173549305802776,0.0480598077607689,0.0946066215735137,0.0300818796724813,0.102438590245639,0.1081345674617301,0.0481488074047703,0.1005695977216091,2
26,0,70,3,4,0,38.73567817463047,-9.178526856503526,1,17,2,1890,0.1981260703645264,1,4894,226,598,779,528,985,1053,316,1062,0.4687290489416723,0.0216454362608945,0.0572742074513935,0.0746097117134374,0.0505698687865147,0.0943396226415094,0.100852408773106,0.0302653002585959,0.1017143951728761,2
32,1,31,1,2,3,38.75525736156442,-9.191250785062373,1,18,2,2048,0.2038144988755008,1,4960,233,564,1062,487,1101,1146,495,952,0.4509090909090909,0.0211818181818181,0.0512727272727272,0.0965454545454545,0.0442727272727272,0.100090909090909,0.1041818181818181,0.045,0.0865454545454545,2
34,0,38,2,3,0,38.7564102420814,-9.09862989001063,1,13,4,1814,0.1967648232323779,0,4730,207,701,1035,505,1048,1051,460,1089,0.4369111398485128,0.0191206355071125,0.0647515241086273,0.0956031775355625,0.0466469610197672,0.0968039903934971,0.0970811010530205,0.0424903011269166,0.1005911694069831,2
36,1,69,2,4,5,38.75591592309743,-9.164559196104044,1,18,3,2119,0.206149297626736,1,4929,232,550,972,443,1193,1221,619,1086,0.4383281458425967,0.0206313917296576,0.048910626945309,0.0864384170742552,0.0393952867941307,0.1060915962650066,0.108581591818586,0.0550466874166296,0.0965762561138283,2
51,0,59,3,4,2,38.75389171734963,-9.199440297699304,1,23,3,1812,0.1996085654500213,1,4893,225,633,993,560,1102,1158,375,1052,0.4451824219816213,0.02047129469566,0.0575925757437903,0.0903466472568465,0.0509507779091984,0.100263852242744,0.1053589300336639,0.0341188244927668,0.0957146756437084,2
64,0,80,2,5,1,38.72869752205655,-9.165836191087944,1,19,4,2025,0.2013762151676954,1,5004,188,481,971,520,1158,945,296,1028,0.4724766311018789,0.0177509205929562,0.0454159191766594,0.0916816164668114,0.0490982910017939,0.1093381172693796,0.0892267019167217,0.0279482579548673,0.0970635445189311,2
