customer_id,customer_gender,customer_age,customer_education,kids_home,teens_home,latitude,longitude,customer_loyalty,typical_hour,distinct_stores_visited,total_distinct_products,percentage_of_products_bought_promotion,number_complaints,spend_groceries,spend_electronics,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,cluster_pc_ward8
7,0,45,1,1,0,38.7385936120372,-9.122753398217696,1,8,8,4545,0.1460248253886174,2,15448,188,983,990,614,1444,1357,128,50,0.7286105084425998,0.008867088010565,0.0463635506084331,0.0466937081407414,0.0289595321196113,0.0681067823790208,0.0640033959060466,0.0060371663050655,0.0023582680879162,0
11,0,55,2,1,0,38.75128505910036,-9.17461307053136,1,11,9,3154,0.1518713866838457,2,14844,200,900,1069,554,1477,1370,260,48,0.7163401216098833,0.0096515780330083,0.0434321011485377,0.0515876845864298,0.0267348711514332,0.071276903773767,0.0661133095261075,0.0125470514429109,0.002316378727922,0
14,0,78,1,0,0,38.75528972165919,-9.159527553436028,1,5,8,3722,0.1514869314310192,2,16842,189,930,885,496,1466,1489,194,45,0.7473375931842385,0.0083865814696485,0.0412673056443024,0.0392705005324813,0.0220092296769613,0.065051473198438,0.0660720624778132,0.0086084487042953,0.001996805111821,0
19,0,58,3,1,1,38.77116311421854,-9.131756066301929,1,15,8,3796,0.147844905311985,1,15009,202,815,867,484,1542,1491,249,43,0.7250024152255821,0.0097575113515602,0.0393681769877306,0.0418800115930827,0.0233793836344314,0.0744855569510192,0.0720220268573084,0.0120278233987054,0.0020770940005796,0
37,0,61,3,1,0,38.72781145020198,-9.122843359620628,1,18,8,3479,0.1424156894176865,2,15162,204,617,912,491,1555,1298,414,49,0.7323930055067144,0.009854120374843,0.0298038836827359,0.0440537146169452,0.0237175152159211,0.0751135156023572,0.0626992561105207,0.0199980678195343,0.0023669210704279,0
45,1,38,2,2,0,38.74325601768565,-9.118093891210949,1,13,8,3817,0.150060111750648,2,14407,186,857,818,615,1517,1577,400,52,0.7052229673503353,0.0091047040971168,0.0419501688775759,0.0400411180185031,0.0301042635469185,0.0742571834157325,0.0771941847373831,0.0195800088110039,0.0025454011454305,0
55,1,56,3,1,1,38.780593827921656,-9.121053894643596,1,17,9,3911,0.1459679426780095,1,15278,208,804,983,326,1527,1443,187,55,0.7341309884195858,0.0099947143337657,0.0386334150209024,0.0472346355292873,0.015664792657729,0.0733746576329825,0.0693383306905002,0.0089856325981452,0.0026428331171015,0
56,0,65,3,1,0,38.77443886625574,-9.194593904198689,1,13,7,4083,0.1572364278832602,0,13121,214,944,941,584,1507,1574,62,47,0.6907970938191008,0.011266715804991,0.0496999052332315,0.0495419606191428,0.0307465515425924,0.0793408444772033,0.08286827419185,0.0032641886911656,0.0024744656207223,0
66,1,67,2,1,0,38.73117242496539,-9.15305316271773,1,11,8,3532,0.1501825722658449,3,14794,191,805,955,705,1376,1536,313,48,0.7138927761424504,0.0092168122376103,0.0388457269700332,0.0460840611880519,0.0340201708246875,0.0663996525599575,0.0741205423925107,0.0151039907349322,0.0023162669497659,0
70,0,61,2,1,0,38.72501145528162,-9.188069644614336,1,12,8,4573,0.1581937779830361,1,13181,199,693,768,651,1503,1410,202,54,0.7063394244681421,0.0106639515567225,0.0371362735116017,0.041155350731472,0.0348855902684743,0.0805423074862011,0.0755586517335619,0.0108247146455173,0.0028937355983066,0
