customer_id,customer_gender,customer_age,customer_education,kids_home,teens_home,latitude,longitude,customer_loyalty,typical_hour,distinct_stores_visited,total_distinct_products,percentage_of_products_bought_promotion,number_complaints,spend_groceries,spend_electronics,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,cluster_pc_ward8
2,0,38,2,2,0,38.74093331493533,-9.142775208654598,1,10,2,184,0.0494359464290583,0,920,56,1512,27,20,0,0,107,60,0.3404885270170244,0.0207253886010362,0.5595854922279793,0.0099925980754996,0.00740192450037,0.0,0.0,0.03960029607698,0.0222057735011102,3
3,0,79,2,1,0,38.78545998592442,-9.137364228404982,1,8,3,212,0.0504547991645726,1,1068,51,1473,20,20,0,0,102,46,0.3841726618705036,0.0183453237410071,0.5298561151079136,0.0071942446043165,0.0071942446043165,0.0,0.0,0.0366906474820143,0.016546762589928,3
10,0,79,3,3,1,38.76916777384848,-9.195949650510384,1,8,2,211,0.0509928223705551,0,1435,44,1484,19,19,0,0,97,58,0.4546894803548796,0.0139416983523447,0.4702154626108998,0.006020278833967,0.006020278833967,0.0,0.0,0.0307351077313054,0.0183776932826362,3
15,0,49,2,1,1,38.76690092088143,-9.190021399336922,1,12,3,205,0.0504048350630081,1,1027,44,1518,26,14,0,0,90,47,0.3712942877801879,0.0159074475777295,0.5488069414316703,0.0093998553868402,0.0050614605929139,0.0,0.0,0.0325379609544468,0.0169920462762111,3
17,0,81,2,0,0,38.78706529769001,-9.153677153473684,1,11,2,193,0.0505562404158352,0,748,57,1513,18,18,0,0,113,50,0.2971791815653555,0.0226460071513706,0.6011124354390147,0.0071513706793802,0.0071513706793802,0.0,0.0,0.0448947159316646,0.0198649185538339,3
23,1,67,1,3,2,38.7764418417089,-9.148490401425962,1,12,2,194,0.0496000196841931,0,1197,51,1492,18,23,0,0,110,53,0.4065896739130434,0.0173233695652173,0.5067934782608695,0.0061141304347826,0.0078125,0.0,0.0,0.0373641304347826,0.0180027173913043,3
31,1,80,1,1,0,38.76446837284952,-9.176452100352233,1,7,3,209,0.0497348298428711,0,857,51,1503,19,19,0,0,97,44,0.3308880308880308,0.0196911196911196,0.5803088803088803,0.0073359073359073,0.0073359073359073,0.0,0.0,0.0374517374517374,0.0169884169884169,3
33,1,36,2,1,0,38.74352272873338,-9.129081894120077,1,12,1,200,0.0508495907287957,1,1009,41,1485,22,20,0,0,97,48,0.3706833210874357,0.0150624540778839,0.5455547391623806,0.0080822924320352,0.0073475385745775,0.0,0.0,0.0356355620867009,0.017634092578986,3
39,1,71,3,0,1,38.75078274313898,-9.153260548152543,1,12,2,198,0.0508187110750232,0,957,44,1480,23,14,0,0,104,55,0.3574897273066866,0.0164363093014568,0.5528576765035488,0.0085917071348524,0.0052297347777362,0.0,0.0,0.038849458348898,0.020545386626821,3
47,0,27,2,1,0,38.75336697317145,-9.142324455995649,1,10,3,188,0.0484357834046956,0,1070,52,1500,15,16,0,0,88,58,0.3822793854948196,0.0185780635941407,0.5359056806002144,0.0053590568060021,0.0057163272597356,0.0,0.0,0.0314397999285459,0.0207216863165416,3
50,1,78,1,2,0,38.78413724175841,-9.12762503129235,1,9,1,175,0.0508814463945719,1,1066,49,1490,20,11,0,0,100,54,0.382078853046595,0.0175627240143369,0.5340501792114696,0.007168458781362,0.0039426523297491,0.0,0.0,0.03584229390681,0.0193548387096774,3
